English words/sentences,French words/sentences
We're not welcome.,Nous ne sommes pas les bienvenues.
We're old friends.,Nous sommes de vieux amis.
We're old friends.,Nous sommes vieux amis.
We're on schedule.,On est dans les clous.
We're on schedule.,Nous sommes dans les temps.
We're out of ammo.,Nous sommes ?ˇ court de munitions.
We're out of beer.,Nous sommes ?ˇ court de bi??re.
We're out of milk.,Nous sommes ?ˇ court de lait.
We're out of time.,On n'a plus le temps.
We're out of wine.,Nous n'avons plus de vin.
We're persevering.,Nous pers??v??rons.
We're pulling out.,Nous nous retirons.
We're quite alone.,Nous sommes tout ?ˇ fait seuls.
We're quite alone.,Nous sommes assez seuls.
We're quite alone.,Nous sommes tout ?ˇ fait seules.
We're quite alone.,Nous sommes assez seules.
We're quite drunk.,On est pas mal bourr??s.
We're quite tired.,Nous sommes assez fatigu??s.
We're ready to go.,Nous sommes pr?¶tes ?ˇ partir.
We're ready to go.,Nous sommes pr?¶ts ?ˇ y aller.
We're ready to go.,Nous sommes pr?¶tes ?ˇ y aller.
We're really good.,Nous sommes vraiment bons.
We're really good.,Nous sommes vraiment bonnes.
We're really late.,Nous sommes tr??s en retard.
We're resourceful.,Nous sommes pleins de ressources.
We're still alive.,Nous sommes toujours en vie.
We're taking over.,Nous prenons le contr??le.
We're taking over.,Nous prenons l'ascendant.
We're taking over.,Nous rejouons.
We're the problem.,Nous sommes le probl??me.
We're trustworthy.,Nous sommes dignes de confiance.
We've all done it.,Nous l'avons tous fait.
We've all seen it.,Nous l'avons tous vu.
We've all seen it.,Nous l'avons tous vue.
We've all seen it.,Nous l'avons toutes vu.
We've all seen it.,Nous l'avons toutes vue.
We've already met.,Nous nous sommes d??j?ˇ rencontr??s.
We've already met.,Nous nous sommes d??j?ˇ rencontr??es.
We've been warned.,On?ˇnous?ˇa?ˇavertis.
We've been warned.,On?ˇnous?ˇa?ˇaverties.
We've been warned.,Nous?ˇavons?ˇ??t???ˇavertis.
We've been warned.,Nous?ˇavons?ˇ??t???ˇaverties.
We've been warned.,Nous?ˇavons?ˇ??t???ˇpr??venus.
We've been warned.,Nous?ˇavons?ˇ??t???ˇpr??venues.
We've been warned.,On?ˇnous?ˇa?ˇpr??venus.
We've been warned.,On?ˇnous?ˇa?ˇpr??venues.
We've done it all.,Nous l'avons enti??rement fait.
We've got company.,Nous avons de la compagnie.
We've got to talk.,Nous devons parler.
We've got to talk.,On doit parler.
We've made a deal.,Nous avons conclu un march??.
We've made a deal.,Nous avons pass?? un accord.
Wear warm clothes.,Portez des v?¶tements chauds.
Welcome to Boston.,Bienvenue ?ˇ Boston.
Were you drinking?,??tais-tu en train de boire ?
Were you drinking?,??tiez-vous en train de boire ?
Were you followed?,Tu as ??t?? suivi ?
Were you obedient?,As-tu ??t?? ob??issant?ˇ?
Were you obedient?,As-tu ??t?? ob??issante?ˇ?
Were you obedient?,Avez-vous ??t?? ob??issante ?
What a clever dog!,Que ce chien est malin !
What a fool I was!,Quel idiot j'ai ??t?? !
What a great idea!,Quelle id??e brillante !
What a great idea!,Quelle id??e splendide !
What a great idea!,Quelle excellente id??e !
What a great view!,Quelle superbe vue!
What a lovely day!,Quelle journ??e d??licieuse.
What a lovely day!,Quelle belle journ??eÉ??!
What a nice house!,Quelle belle maison !
What a revelation!,Quelle r??v??lation !
What a smart idea!,Quelle id??e judicieuse !
What a weird idea!,Quelle id??e bizarre !
What are we doing?,Que sommes-nous en train de faire ?
What did Tom want?,Que voulait Tom?ˇ?
What did you find?,Qu'as-tu trouv?? ?
What did you find?,Qu'avez-vous trouv?? ?
What did you hear?,Qu'as-tu entendu ?
What did you hear?,Qu'avez-vous entendu ?
What did you hide?,Qu'as-tu cach?? ?
What did you make?,Qu'as-tu faitÉ???
What did you make?,Qu'est-ce que tu as fait ?
What did you make?,Qu'avez-vous fait ?
What did you make?,Qu'as-tu confectionn?? ?
What did you make?,Qu'avez-vous confectionn?? ?
What do they need?,De quoi ont-ils besoin ?
What do we do now?,Que faisons-nous maintenant ?
What do we do now?,Que faisons-nous d??sormais ?
What do you think?,Qu'en penses-tuÉ???
What do you think?,Qu'en penser ?
What does he want?,Que veut-il ?
What does it cost?,Combien est-ce que ??a co?ØteÉ???
What does it mean?,Qu'est-ce que ??a veut dire ?
What does she say?,Que dit-elle ?
What gave it away?,Qu'est-ce qui l'a r??v??l?? ?
What gave it away?,Comment ??a s'est su ?
What gave me away?,Qu'est-ce qui m'a trahi ?
What happens next?,Et apr??s ?
What happens next?,Qu'arrive-t-il ensuite ?
What happens next?,Que se passe-t-il ensuite ?
What have we done?,Qu'avons-nous fait ?
What is happening?,Qu'est-ce qui se passeÉ???
What is happiness?,Qu'est-ce que le bonheurÉ???
What is happiness?,Qu'est le bonheur ?
What is it called?,Comment ??a s'appelle ?
What is it you do?,Que fais-tu ?
What is it you do?,Que faites-vous ?
What is it you do?,"C'est quoi, ce que tu fais ?"
What is it you do?,"C'est quoi, ce que vous faites ?"
What is the delay?,Quel en est le d??lai ?
What is the price?,C'est ?ˇ quel prixÉ???
What is your idea?,Quelle est ton id??e?ˇ?
What is your idea?,Quelle est votre id??e?ˇ?
What is your name?,Comment est-ce que tu t'appellesÉ???
What is your name?,Comment tu t'appelles ?
What is your name?,Comment vous appelez-vousÉ???
What is your name?,Comment t'appelles-tuÉ???
What is your name?,Quel est votre nom ?
What is your name?,Quel est ton nom ?
What is your plan?,Quel est ton plan ?
What is your plan?,Quel est votre plan ?
What should I buy?,Qu'est-ce que je devrais acheter ?
What should I eat?,Que devrais-je mangerÉ???
What song is this?,C'est quel son ?
What song is this?,Quelle est cette chanson ?
What was I saying?,Que disais-je ?
What was he up to?,Quelle ??tait son intentionÉ???
What was her name?,Quel ??tait son nom?ˇ?
What was she like?,Comment ??tait-elle ?
What would you do?,Que ferais-tu ?
What would you do?,Que feriez-vous ?
What're the facts?,Quels sont les faits?ˇ?
What're you doing?,Que fais-tu ?
What're you doing?,Que faites-vous ?
What're you doing?,Qu'es-tu en train de faireÉ???
What're you doing?,Qu'es-tu en train de faire ?
What're you doing?,Qu'?¶tes-vous en train de faire ?
What're you doing?,QuÉ??est-ce que vous faites ?
What's Tom asking?,Que demande TomÉ???
What's in the bag?,Qu'y a-t-il dans le sac ?
What's in the bag?,Qu'est-ce qu'il y a dans le sac ?
What's that sound?,"CÉ??est quoi, ce bruit ?"
What's that stain?,Quelle est cette tache ?
What's that stain?,Qu'est cette tache ?
What's that stain?,Qu'est-ce que c'est que cette tache ?
What's that stuff?,Qu'est-ce que c'est que ce truc ?
What's the answer?,Quelle est la r??ponse?ˇ?
What's the matter?,Quel est le probl??me ?
What's the matter?,De quoi s'agit-il ?
What's the number?,Quel est le num??roÉ???
What's the reason?,Quelle est la raisonÉ???
What's the secret?,Quel est le secret ?
What's the skinny?,Vide ton sac !
What's the target?,Quelle est la cible ?
What's this smell?,Quelle est cette odeurÉ???
What's this sound?,Qu'est ce bruit ?
What's this thing?,Qu'est-ce que c'est que cette chose?ˇ?
What's your hobby?,Quel est votre passe-temps ?
What's your hobby?,Quel est ton passe-temps ?
What's your major?,Quelle est ta sp??cialit??É???
What's your major?,Quelle est votre sp??cialit??É???
When are you busy?,Quand es-tu occup??É???
When did you come?,Quand ?¶tes-vous venusÉ???
When did you come?,Quand es-tu venuÉ???
When do we arrive?,Dans combien de temps arrivons-nousÉ???
When do you study?,Quand ??tudiez-vous ?
When does he come?,Quand vient-il?ˇ?
When does it open?,Quand ouvre-t-il ?
When does it open?,Quand est-ce que ??a ouvre ?
When is my flight?,?? quelle heure est mon vol?ˇ?
When is the party?,Quand la f?¶te a-t-elle lieuÉ???
When was it built?,Quand cela a ??t?? construitÉ???
When was she born?,Quand est-elle n??eÉ???
When will he come?,Quand viendra-t-il?ˇ?
Where are you now?,O?? ?¶tes-vous maintenant?ˇ?
Where can they be?,O?? peuvent-ils ?¶tre?ˇ?
Where can they be?,O?? peuvent-elles ?¶tre?ˇ?
Where can we meet?,O?? pouvons-nous nous rencontrer ?
Where can we park?,O?? pouvons-nous nous garer ?
Where could he be?,O?? pourrait-il se trouver ?
Where did they go?,O?? sont-ils pass??s ?
Where did they go?,O?? sont-ils all??s ?
Where did they go?,O?? sont-ils partis ?
Where do we start?,O?? commen??ons-nous ?
Where do you live?,O?? habites-tuÉ???
Where do you live?,O?? vis-tuÉ???
Where do you live?,O?? vivez-vous ?
Where do you live?,Tu habites o?? ?
Where do you live?,Vous habitez o?? ?
Where do you live?,T'as o?? les vaches ?
Where do you park?,O???ˇte?ˇgares-tu?ˇ?
Where do you park?,O???ˇvous?ˇgarez-vous?ˇ?
Where do you swim?,O?? faites-vous de la natation ?
Where do you work?,O?? travailles-tuÉ???
Where do you work?,O?? travaillez-vousÉ???
Where is my watch?,O?? est ma montre ?
Where is the book?,O?? est le livreÉ???
Where is the book?,O?? est le livret ?
Where is the exit?,O?? est la sortie ?
Where is the pain?,O?? se situe la douleur ?
Where is your cap?,O?? est ta casquette ?
Where is your dog?,O?? est ton chienÉ???
Where is your dog?,O?? est votre chien ?
Where is your dog?,O?? est ton chien ?
Where shall we go?,O?? devrions-nous aller ?
Where shall we go?,O?? irons-nous ?
Where will we eat?,O?? allons-nous mangerÉ???
Where will you be?,O?? seras-tuÉ???
Where will you be?,O?? serez-vousÉ???
Where will you go?,O?? irez-vous ?
Where's everybody?,O?? est tout le monde ?
Where's everybody?,O?? sont-ils tous ?
Where's my driver?,O?? est mon chauffeur ?
Where's my jacket?,O?? est ma veste ?
Where's my mother?,O?? est ma m??re ?
Where's my sister?,O?? est ma sè?ur ?
Where's my ticket?,O?? est mon billet ?
Where's our stuff?,O?? sont nos affaires ?
Where's the beach?,O?? est la plage ?
Where's the bread?,O?? est le pain ?
Where's the catch?,O?? est l'arnaque ?
Where's the catch?,O?? est le truc ?
Where's the catch?,O?? sont les prises ?
Where's the catch?,O?? se trouve le loquet ?
Where's the catch?,Qu'est-ce qu'il y a ?ˇ piger ?
Where's the honey?,O?? est le mielÉ???
Where's the knife?,O?? est le couteau ?
Where's the money?,O?? est l'argent ?
Where's the phone?,O?? est le t??l??phone?ˇ?
Where's the proof?,O?? est la preuve ?
Where's your coat?,O?? est ton manteau ?
Where've you been?,O?? as-tu ??t?? ?
Where've you been?,O?? avez-vous ??t?? ?
Which is the best?,Lequel est le meilleur?
Which is your pen?,Lequel est ton stylo ?
Which is your pen?,Lequel est votre stylo ?
Which one is mine?,Lequel est le mien ?
Which tooth hurts?,Quelle est la dent qui fait malÉ???
Who approved this?,Qui a valid?? ??a?ˇ?
Who are these men?,Qui sont ces hommes?ˇ?
Who are those men?,Qui sont ces hommes?ˇ?
Who ate the bread?,Qui a mang?? le painÉ???
Who believes that?,Qui croit celaÉ???
Who believes that?,Qui croit ??aÉ???
Who broke the cup?,Qui a cass?? la tasse?
Who broke the mug?,Qui a cass?? la tasse?ˇ?
Who can blame you?,Qui peut te bl?õmer?ˇ?
Who can blame you?,Qui peut vous bl?õmer ?
Who can you trust?,?? qui se fier ?
Who gave you this?,Qui t'a donn?? ??a ?
Who gave you this?,Qui vous a donn?? ??a ?
Who is that woman?,Qui est cette femmeÉ???
Who is this woman?,Qui est cette femmeÉ???
Who made the doll?,Qui a fabriqu?? la poup??eÉ???
Who made this box?,Qui a fait cette bo??te ?
Who made this pie?,Qui a fait cette tarteÉ???
Who made this pie?,Qui a fait cette tourteÉ???
Who needs a drink?,?? qui faut-il un verre ?
Who needs a drink?,?? qui faut-il une boisson ?
Who ordered pizza?,Qui a command?? de la pizza?ˇ?
Who paid for that?,Qui a pay?? pour ??a?ˇ?
Who says Tom knew?,Qui dit que Tom savait?ˇ?
Who sent you here?,Qui t'a envoy?? iciÉ???
Who sent you here?,Qui t'a envoy??e iciÉ???
Who sent you here?,Qui vous a envoy?? iciÉ???
Who sent you here?,Qui vous a envoy??e iciÉ???
Who sent you here?,Qui vous a envoy??s iciÉ???
Who sent you here?,Qui vous a envoy??es iciÉ???
Who should I call?,Qui devrais-je appeler?ˇ?
Who wants a drink?,Qui veut une boisson ?
Who was that girl?,Qui ??tait cette fille?ˇ?
Who went with you?,Qui est all?? avec toi?ˇ?
Who went with you?,Qui est all?? avec vous ?
Who would do this?,Qui ferait ??a ?
Who would do this?,Qui ferait ceci ?
Who's on the team?,Qui fait partie de l'??quipe ?
Who's that person?,Qui est cette personneÉ???
Who's your father?,Qui est votre p??re ?
Who's your father?,Qui est ton p??re ?
Who's your father?,Lequel est ton p??re ?
Who's your father?,Lequel est votre p??re ?
Who's your friend?,Qui est ton ami?ˇ?
Who's your friend?,Qui est ton amie ?
Who's your friend?,Qui est votre ami ?
Who's your friend?,Qui est votre amie ?
Whose bed is that?,?? qui est ce lit ?
Whose car is that?,?? qui est cette voitureÉ???
Whose car is this?,?? qui est cette voitureÉ???
Whose clock is it?,?? qui est cette horloge ?
Whose cup is this?,"CÉ??est ?ˇ qui, cette tasse ?"
Whose dog is this?,?? qui est ce chien?ˇ?
Whose fault is it?,?? qui la fauteÉ???
Whose fault is it?,De qui est la fauteÉ???
Whose idea was it?,De qui ??tait cette id??e ?
Whose is this bag?,?? qui est le sac ?
Whose kid is that?,?? qui est cet enfant?ˇ?
Whose son are you?,De qui ?¶tes-vous le fils ?
Whose son are you?,De qui es-tu le fils ?
Whose son are you?,Tu es le fils de qui ?
Whose son are you?,Vous ?¶tes le fils de qui ?
Why all the drama?,Pourquoi tout ce drame ?
Why am I so tired?,Pourquoi suis-je si fatigu??e ?
Why are they here?,Pourquoi sont-ils iciÉ???
Why are they here?,Pourquoi sont-elles iciÉ???
Why are you alone?,Pourquoi es-tu seulÉ???
Why are you alone?,Pourquoi es-tu seuleÉ???
Why are you alone?,Pourquoi ?¶tes-vous seulÉ???
Why are you alone?,Pourquoi ?¶tes-vous seuleÉ???
Why are you alone?,Pourquoi ?¶tes-vous seulsÉ???
Why are you alone?,Pourquoi ?¶tes-vous seulesÉ???
Why are you alone?,Pourquoi es-tu seul ?
Why are you alone?,Pourquoi es-tu seule ?
Why are you alone?,Pourquoi ?¶tes-vous seul ?
Why are you alone?,Pourquoi ?¶tes-vous seule ?
Why are you alone?,Pourquoi ?¶tes-vous seuls ?
Why are you alone?,Pourquoi ?¶tes-vous seules ?
Why are you angry?,Pourquoi es-tu en col??reÉ???
Why are you lying?,Pourquoi mens-tu ?
Why are you lying?,Pourquoi mentez-vous ?
Why are you upset?,Pourquoi es-tu ??nerv???ˇ?
Why are you upset?,Pourquoi es-tu f?õch??e?ˇ?
Why are you upset?,Pourquoi ?¶tes-vous agac??es?ˇ?
Why are you upset?,Pourquoi ?¶tes-vous contrari??s?ˇ?
Why are you upset?,Pourquoi ?¶tes-vous agac???ˇ?
Why did I do that?,Pourquoi ai-je fait celaÉ???
Why did I do this?,Pourquoi?ˇai-je?ˇfait?ˇ??a?ˇ?
Why did I do this?,Pourquoi?ˇl'ai-je?ˇfait?ˇ?
Why did you do it?,Pourquoi l'as-tu fait ?
Why did you do it?,Pourquoi l'avez-vous fait ?
Why didn't Tom go?,Pourquoi Tom n'est-il pas parti?
Why do you resist?,Pourquoi r??sistes-tu ?
Why do you resist?,Pourquoi r??sistez-vous ?
Why is snow white?,Pourquoi la neige est-elle blanche ?
Why is this funny?,Pourquoi c'est marrant ?
Why must I suffer?,Pourquoi dois-je souffrir?ˇ?
Why must we do it?,Pourquoi devons-nous le faire ?
Why not just quit?,Pourquoi ne pas simplement d??missionner ?
Why not just quit?,Pourquoi ne pas simplement arr?¶ter ?
Why not just quit?,Pourquoi ne pas simplement cesser ?
Why not just stay?,Pourquoi ne pas simplement rester ?
Why not start now?,Pourquoi ne pas commencer maintenant ?
Why not try it on?,Pourquoi ne pas l'essayer ?
Why should I wait?,Pourquoi devrais-je attendre?
Why take the risk?,Pourquoi encourir le risque ?
Why was Tom fired?,Pourquoi Tom a-t-il ??t?? vir?? ?
Why would I laugh?,Pourquoi rirais-je ?
Why would she lie?,Pourquoi mentirait-elle ?
Will Tom be ready?,Tom sera-t-il pr?¶t?ˇ?
Will you be going?,Irez-vous ?
Will you be going?,Iras-tu ?
Will you go there?,T'y rendras-tu ?
Will you pay cash?,Payerez-vous en liquide ?
Will you pay cash?,Payeras-tu en liquide ?
Will you use this?,Vas-tu t'en servir?ˇ?
Wood burns easily.,Le bois br?Øle facilement.
Woods burn easily.,Les bois br?Ølent facilement.
Would you do that?,Le ferais-tu ?
Would you drop it?,Voudrais-tu bien laisser tomber ?
Wow! That's cheap!,WaouÉ??! C'est bon march??É??!
Wow! That's cheap!,WaouÉ??! C'est pas cherÉ??!
Yes. That's right.,Oui. C'est exact.
Yesterday was hot.,Hier il faisait chaud.
Yesterday was hot.,"Hier, il a fait chaud."
You are a bit fat.,Tu es un peu gras.
You are a student.,Tu es un ??tudiant.
You are a student.,Tu es une ??tudiante.
You are a student.,Vous ?¶tes un ??tudiant.
You are a student.,Vous ?¶tes une ??tudiante.
You are a teacher.,Tu es professeur.
You are a teacher.,Tu es enseignant.
You are a teacher.,Tu es enseignante.
You are actresses.,Vous ?¶tes des actrices.
You are beautiful.,Tu es beau.
You are beautiful.,Tu es belle.
You are beautiful.,Vous ?¶tes beau.
You are beautiful.,Vous ?¶tes belle.
You are beautiful.,Vous ?¶tes beaux.
You are beautiful.,Vous ?¶tes belles.
You are hilarious.,Que vous ?¶tes dr??le.
You are hilarious.,Vous me faites mourir de rire.
You are important.,Tu es important.
You are important.,Vous ?¶tes important.
You are important.,Vous ?¶tes importants.
You are important.,Vous ?¶tes importantes.
You are important.,Tu es importante.
You are important.,Vous ?¶tes importante.
You are in my way.,Tu es sur mon chemin.
You are in my way.,Vous ?¶tes sur mon chemin.
You are my father.,Tu es mon p??re.
You are my friend.,Tu es mon amie.
You are so stupid.,Tu es tellement idiot !
You are so stupid.,Tu es tellement idiote !
You are so stupid.,Vous ?¶tes tellement idiot !
You are so stupid.,Vous ?¶tes tellement idiote !
You are so stupid.,Vous ?¶tes tellement idiots !
You are so stupid.,Vous ?¶tes tellement idiotes !
You are very nice.,Tu es tr??s sympa.
You are very rich.,Tu es tr??s riche.
You are very rich.,Vous ?¶tes tr??s riche.
You are very rich.,Vous ?¶tes tr??s riches.
You are very rich.,Vous ?¶tes fort riche.
You are very rich.,Vous ?¶tes fort riches.
You bet I'm angry.,Tu parles que je suis f?õch??.
You both did well.,Vous avez tous deux bien fait.
You broke my nose.,Tu m'as p??t?? le nez.
You broke my nose.,Vous m'avez cass?? le nez.
You came too late.,Tu es venue trop tard.
You came too late.,Tu es venu trop tard.
You came too late.,Vous ?¶tes venu trop tard.
You came too late.,Vous ?¶tes venue trop tard.
You came too late.,Vous ?¶tes venus trop tard.
You came too late.,Vous ?¶tes venues trop tard.
You can come home.,Tu peux venir ?ˇ la maison.
You can come home.,Vous pouvez venir ?ˇ la maison.
You can have both.,Vous pouvez avoir les deux.
You can have both.,Tu peux avoir les deux.
You can park here.,Tu peux te garer ici.
You can park here.,Vous pouvez vous garer ici.
You can trust him.,Tu peux lui faire confiance.
You can trust him.,Tu peux t'y fier.
You can wait here.,Tu peux attendre ici.
You can wait here.,Vous pouvez attendre ici.
You can't beat me.,Tu ne peux pas me battre.
You can't come in.,Vous ne pouvez pas entrer.
You can't come in.,Tu ne peux pas entrer.
You can't deny it.,Vous ne pouvez pas nier cela.
You can't do that.,Tu ne peux pas faire ??a.
You can't give up.,Tu ne peux pas arr?¶ter.
You can't give up.,Vous ne pouvez pas arr?¶ter.
You can't give up.,Tu ne peux pas admettre ta d??faite.
You can't give up.,Vous ne pouvez pas admettre votre d??faite.
You can't help me.,Tu ne peux pas m'aider.
You can't help me.,Vous ne pouvez pas m'aider.
You can't just go.,Tu ne peux pas simplement t'en aller comme ??a.
You can't just go.,Vous ne pouvez pas simplement vous en aller comme ??a.
You can't miss it.,Tu ne peux pas le manquer.
You can't miss it.,Vous ne pouvez pas le manquer.
You can't miss it.,Tu ne peux pas le louper.
You can't save me.,Tu ne peux pas me sauver.
You can't save me.,Vous ne pouvez pas me sauver.
You could help me.,Tu pourrais m'aider.
You could've died.,Tu aurais pu mourir.
You could've died.,Vous auriez pu mourir.
You did a bad job.,Vous avez fait du mauvais travail.
You did a bad job.,Tu as fait du mauvais travail.
"You did well, Tom.","Tu as bien fait, Tom."
"You did well, Tom.","Vous avez bien fait, Tom."
You did your best.,Tu as fais de ton mieux.
You did your part.,Vous avez fait votre part.
You did your part.,Tu as fait ta part.
You do a nice job.,Vous faites un bon travail.
You do a nice job.,Tu fais un bon travail.
You do work a lot.,Vous travaillez vraiment beaucoup.
You do work a lot.,Tu travailles vraiment beaucoup.
You don't know us.,Vous ne nous connaissez pas.
You gave it to me.,Tu me le donnas.
You gave it to me.,Tu me lÉ??as donn??.
You got here fast.,Tu es arriv?? vite.
You guessed right.,Tu as bien devin??.
You guessed right.,Vous avez bien devin??.
You had better go.,Vous feriez mieux de partir.
You had better go.,Tu ferais mieux d'y aller.
You had better go.,Vous feriez mieux d'y aller.
You had better go.,Tu ferais mieux de partir.
You had me fooled.,Tu m'as eu.
You had no choice.,Tu n'avais pas le choix.
You had no choice.,Vous n'aviez pas le choix.
You have a future.,Vous avez un avenir.
You have a future.,Tu as un avenir.
You have no fever.,Tu n'as pas de fi??vre.
You have no fever.,Vous n'avez pas de fi??vre.
You have no heart.,Tu n'as pas de cè?ur.
You have no heart.,Vous n'avez pas de cè?ur.
You have no proof.,Tu n'as aucune preuve.
You have no proof.,Vous n'avez aucune preuve.
You have no taste.,Tu n'as aucun go?Øt.
You have no taste.,Vous n'avez aucun go?Øt.
You have one hour.,Tu as une heure.
You have one hour.,Vous avez une heure.
You have problems.,Tu as des probl??mes.
You have problems.,Vous avez des probl??mes.
You have to fight.,Il faut que tu te battes !
You have to focus.,Tu dois te concentrer.
You have to focus.,Vous devez vous concentrer.
You have to leave.,Tu dois partir.
You have to leave.,Vous devez partir.
You have visitors.,Vous avez des visiteurs.
You have visitors.,Tu as des visiteurs.
You know too much.,Vous en savez trop.
You know too much.,Tu en sais trop.
You learn quickly.,Vous apprenez rapidement.
You learn quickly.,Tu apprends rapidement.
You like everyone.,Tu appr??cies tout le monde.
You like everyone.,Vous appr??ciez tout le monde.
You like everyone.,Vous aimez bien tout le monde.
You like everyone.,Tu aimes bien tout le monde.
You look European.,Tu as l'air europ??en.
You look European.,Tu as l'air europ??enne.
You look European.,Vous avez l'air europ??en.
You look European.,Vous avez l'air europ??enne.
You look Japanese.,Tu as l'air japonais.
You look Japanese.,Tu as l'air japonaise.
You look Japanese.,Vous avez l'air japonais.
You look Japanese.,Vous avez l'air japonaise.
You look Japanese.,Vous avez l'air japonaises.
You look fabulous.,Tu as l'air resplendissant.
You look fabulous.,Tu as l'air resplendissante.
You look fabulous.,Vous avez l'air resplendissant.
You look fabulous.,Vous avez l'air resplendissante.
You look fabulous.,Vous avez l'air resplendissants.
You look fabulous.,Vous avez l'air resplendissantes.
You look familiar.,Tu me dis quelque-chose.
You look familiar.,Vous me dites quelque chose.
You look handsome.,Tu as l'air beau.
You look terrible.,Tu as une sale t?¶te.
You look terrific.,Tu as l'air terrible.
You look terrific.,Tu as l'air super.
You look terrific.,Vous avez l'air terrible.
You look terrific.,Vous avez l'air super.
You lost the game.,Vous avez perdu la partie.
You lost the game.,Tu as perdu la partie.
You made an error.,Tu as fait une erreur.
You made me proud.,Tu m'as rendu fier.
You make me laugh.,Tu me fais rire.
You may be needed.,On pourrait avoir besoin de toi.
You may enter now.,"Vous pouvez entrer, maintenant."
You may go in now.,"Tu peux entrer, maintenant."
You may go in now.,"Vous pouvez entrer, maintenant."
You may need this.,Tu pourrais avoir besoin de ceci.
You may park here.,Tu peux te garer ici.
You may park here.,Vous pouvez vous garer ici.
You missed a spot.,Tu as loup?? une tache.
You missed a spot.,C'est toi qui as loup?? une tache.
You must help her.,Vous devez l'aider.
You must hurry up.,Tu dois te d??p?¶cher.
You must stop him.,Vous devez l'arr?¶ter.
You must stop him.,Tu dois l'arr?¶ter.
You must stop him.,Tu dois le retenir.
You need stitches.,Vous avez besoin de points de suture.
You need stitches.,Il te faut des points de suture.
You need to hurry.,Tu dois te d??p?¶cher.
You need to leave.,Il faut que tu t'en ailles.
You need to relax.,Tu as besoin de te d??tendre.
You need to relax.,Vous devez vous d??tendre.
You need to sleep.,Tu as besoin de dormir.
You need to sleep.,Vous avez besoin de dormir.
You never gave up.,Tu n'as jamais abandonn??.
You never gave up.,Vous n'avez jamais abandonn??.
You owe me a beer.,Tu me dois une bi??re.
You owe me a kiss.,Vous me devez un baiser.
You owe me a kiss.,Tu me dois un bisou.
You read too much.,Vous lisez trop.
You read too much.,Tu lis trop.
You run very fast.,Tu cours tr??s rapidement.
You run very fast.,Vous courez tr??s rapidement.
You saved my life.,Tu m'as sauv?? la vie.
You should go now.,Vous devriez y aller maintenant.
You should go now.,Tu devrais y aller maintenant.
You should go now.,"Vous devriez partir, maintenant."
You should go now.,"Tu devrais partir, maintenant."
You should try it.,Tu devrais essayer.
You sound nervous.,Tu as l'air nerveux.
You sound nervous.,Vous avez l'air nerveux.
You sound nervous.,Vous avez l'air nerveuses.
You sound nervous.,Vous avez l'air nerveuse.
You sound nervous.,Tu as l'air nerveuse.
You talk too fast.,Tu parles trop vite.
You talk too much.,Tu parles trop.
You talk too much.,Vous parlez trop.
You two may leave.,"Vous deux, vous pouvez partir."
You understand me.,Tu me comprends.
You weren't ready.,Tu n'??tais pas pr?¶te.
You weren't ready.,Vous n'??tiez pas pr?¶t.
You won't be shot.,On ne te tirera pas dessus.
You won't be shot.,Tu ne seras pas fusill??.
You won't be shot.,On ne vous tirera pas dessus.
You won't be shot.,Tu ne seras pas fusill??e.
You won't be shot.,Vous ne serez pas fusill??.
You won't be shot.,Vous ne serez pas fusill??e.
You won't be shot.,Vous ne serez pas fusill??s.
You won't be shot.,Vous ne serez pas fusill??es.
You won't need it.,Tu n'en auras pas besoin.
You won't need it.,Vous n'en aurez pas besoin.
You won't need me.,Tu n'auras pas besoin de moi.
You won't need me.,Vous n'aurez pas besoin de moi.
You won't succeed.,Tu ne r??ussiras pas.
You won't succeed.,Vous ne r??ussirez pas.
You work too hard.,Tu travailles trop dur.
You work too hard.,Vous travaillez trop dur.
You work too much.,Tu travailles trop.
You would like it.,Tu aimerais ??a.
You'd better come.,Tu ferais mieux de venir.
You'd better come.,Vous feriez mieux de venir.
You'll be jealous.,Vous allez ?¶tre jalouses.
You'll find a job.,Tu trouveras du travail.
You're a bad liar.,Tu mens mal.
You're a bad liar.,Vous mentez mal.
You're a bad liar.,Tu es un pi??tre menteur.
You're a disgrace.,Tu es une disgr?õce.
You're a disgrace.,Vous ?¶tes une honte.
You're a good boy.,Tu es un bon gar??on.
You're a good boy.,Vous ?¶tes un bon gar??on.
You're a good boy.,T'es un bon gar??on !
You're a good guy.,T'es un mec bien.
You're a good kid.,Tu es un bon gamin.
You're a good man.,Tu es un homme bon.
You're a good man.,Vous ?¶tes un homme bien.
You're a good man.,Vous ?¶tes un homme bon.
You're a murderer.,Tu es un meurtrier.
You're a prisoner.,Tu es un prisonnier.
You're a prisoner.,Vous ?¶tes un prisonnier.
You're a romantic.,Tu es un romantique.
You're a romantic.,Tu es une romantique.
You're a romantic.,Vous ?¶tes un romantique.
You're a romantic.,Vous ?¶tes une romantique.
You're a survivor.,Tu es un survivant.
You're a survivor.,Tu es une survivante.
You're a survivor.,Vous ?¶tes un survivant.
You're a survivor.,Vous ?¶tes une survivante.
You're a tall boy.,Tu es un grand gar??on.
You're aggressive.,Tu es agressif.
You're aggressive.,Tu es agressive.
You're all insane.,Vous ?¶tes tous malades.
You're all insane.,Vous ?¶tes toutes malades.
You're articulate.,Tu t'exprimes bien.
You're articulate.,Vous vous exprimez bien.
